word,frequency
you,61
inflation,60
i,56
policy,34
which,33
per,32
monetary,31
if,31
rate,30
was,30
cent,30
but,29
not,29
think,21
its,21
more,20
do,19
growth,19
so,18
also,18
question,17
projections,17
target,17
very,16
restrictive,15
could,15
what,15
or,15
risk,15
would,14
than,14
now,14
us,14
all,13
about,13
basis,13
were,12
particular,12
because,12
staff,12
should,12
interest,12
there,12
still,11
when,11
those,11
your,11
really,11
meeting,11
continue,11
economic,10
know,10
trade,10
expected,10
uncertainty,10
second,10
data,10
up,9
euro,9
states,9
member,9
said,9
see,9
october,9
time,9
assessment,8
two,8
mediumterm,8
decision,8
next,8
labour,8
any,8
rates,8
financial,8
quarter,8
reference,8
firms,8
point,8
some,8
look,8
one,8
lower,8
different,7
other,7
going,7
wages,7
prices,7
been,7
had,7
ecb,7
cut,7
decisions,7
higher,7
based,7
market,7
economy,7
how,7
im,7
impact,7
remain,7
probably,7
around,7
increase,7
outlook,7
underlying,7
transmission,7
first,7
third,7
risks,7
domestic,7
whether,7
points,7
investment,7
demand,7
governing,7
remains,7
three,7
profits,6
many,6
clearly,6
say,6
little,6
global,6
times,6
out,6
much,6
currently,6
uncertain,6
area,6
measures,6
policies,6
down,6
terms,6
no,6
costs,6
past,6
way,6
conditions,6
neutral,6
gradually,6
make,6
last,6
new,6
wondering,6
pepp,6
result,6
statement,6
few,6
council,6
fiscal,6
again,6
year,5
stance,5
confidence,5
appropriate,5
can,5
thats,5
determined,5
actually,5
least,5
right,5
my,5
direction,5
path,5
dont,5
restrictiveness,5
consumption,5
current,5
bit,5
term,5
coming,5
indicate,5
percentage,5
earlier,5
stability,5
tpi,5
course,5
financing,5
projection,5
today,5
over,5
taken,4
price,4
budget,4
closer,4
just,4
same,4
everybody,4
high,4
job,4
expect,4
political,4
into,4
compensation,4
row,4
well,4
simply,4
led,4
average,4
six,4
debate,4
european,4
since,4
against,4
energy,4
productivity,4
strength,4
downside,4
low,4
sustainably,4
want,4
greater,4
services,4
dynamics,4
days,4
back,4
apply,4
approach,4
only,4
assume,4
exchange,4
great,4
being,4
lot,4
annual,4
given,4
decided,4
element,4
where,4
key,4
sustained,3
delay,3
easing,3
recovery,3
although,3
near,3
level,3
effects,3
support,3
ensure,3
stabilises,3
follow,3
precommitting,3
set,3
then,3
tightening,3
months,3
members,3
slowing,3
friction,3
exports,3
resilient,3
declined,3
below,3
peak,3
geopolitical,3
questions,3
between,3
rise,3
structural,3
proposals,3
yet,3
case,3
focus,3
help,3
debt,3
mandate,3
reaching,3
seeing,3
sided,3
feel,3
give,3
stated,3
far,3
weeks,3
ago,3
things,3
depending,3
situation,3
dependent,3
elections,3
publication,3
determine,3
views,3
come,3
put,3
too,3
get,3
already,3
paragraph,3
clear,3
quite,3
decide,3
order,3
flexibility,3
used,3
reinvestment,3
wage,3
using,3
tool,3
these,3
reach,3
each,3
overall,3
germany,3
deposit,3
facility,3
through,3
line,3
half,3
food,3
both,3
suggest,3
settle,3
increased,2
gave,2
may,2
take,2
light,2
determining,2
larger,2
reflected,2
meetingbymeeting,2
datadependent,2
maybe,2
fading,2
previous,2
households,2
anything,2
allow,2
levels,2
forward,2
real,2
mainly,2
lending,2
bank,2
remember,2
dropped,2
absorb,2
prevent,2
indicators,2
environment,2
picked,2
having,2
numbers,2
september,2
consideration,2
consider,2
made,2
removing,2
slower,2
credit,2
service,2
stock,2
change,2
something,2
outstanding,2
mean,2
sense,2
strengthen,2
even,2
before,2
tight,2
expensive,2
changed,2
must,2
less,2
cuts,2
recent,2
surge,2
adjusting,2
certain,2
competitive,2
thoughts,2
mortgages,2
edged,2
most,2
does,2
weak,2
disrupt,2
face,2
spending,2
view,2
macroprudential,2
criteria,2
flagged,2
system,2
hope,2
discussed,2
eu,2
resulting,2
employee,2
situations,2
track,2
process,2
surveys,2
largely,2
slowly,2
tools,2
methods,2
updated,2
enhancing,2
cannot,2
steer,2
particularly,2
either,2
done,2
pressures,2
happens,2
europe,2
react,2
strong,2
further,2
summer,2
closely,2
parts,2
medium,2
marketbased,2
best,2
create,2
respect,2
includes,2
reason,2
procure,2
kind,2
bias,2
stand,2
acknowledge,2
such,2
concern,2
optimistic,2
did,2
discuss,2
arguments,2
good,2
fourth,2
reflecting,2
recall,2
plans,2
part,2
obviously,2
ground,2
four,2
completely,2
december,2
getting,2
world,2
general,2
long,2
timely,2
me,2
judgment,2
work,2
elaborate,2
longerterm,2
pandemic,2
expectations,2
governance,2
due,2
vacancy,2
mechanism,2
elements,2
ready,2
moment,2
moving,2
grew,2
correct,2
end,2
developing,2
exceptional,2
every,2
maturity,2
theres,2
release,2
framework,2
detail,2
curve,2
administration,2
stemming,2
incorporated,2
dimension,2
appreciate,2
towards,2
step,2
determination,2
apples,2
goes,2
referring,2
several,2
caused,2
